,Name,Location,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,0,1,2,3,4,5,6,7,8,9,10
35,1199,6,2009,83816,14.0,1061,64,5.0,0,1.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
36,1183,7,2018,50075,24.0,1248,88.5,5.0,11.12,8.63,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
37,849,4,2017,52000,18.1,1198,82,5.0,0,4.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
38,1300,10,2013,85000,11.7,2987,254.8,5.0,0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
39,1825,2,2013,62000,22.0,1199,73.9,5.0,0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
40,970,4,2008,90000,19.0,796,46.3,5.0,0,1.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
41,1619,7,2014,19698,25.0,624,37.5,4.0,0,1.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
42,847,3,2017,22033,25.3,1198,77,6.0,0,5.58,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
43,762,7,2014,35487,18.0,1197,82.9,5.0,0,4.74,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
44,536,1,2014,46374,14.6,1999,149.92,5.0,23.64,8.85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
45,1693,9,2016,52001,14.2,1798,138.03,5.0,0,10.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
46,537,0,2008,58005,14.0,1991,112.2,5.0,0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
47,1776,1,2012,70704,11.2,2694,163.7,7.0,18.64,10.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
48,668,6,2014,75000,24.0,1120,71,5.0,0,3.85,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
49,908,6,2012,75800,16.5,2498,105,6.0,0,5.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50,8,7,2015,13648,17.1,1968,174.33,5.0,0,21.43,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
51,1147,4,2014,52000,22.0,1248,74,5.0,0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
52,1156,8,2014,53000,17.0,1248,75,5.0,0,3.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
53,1159,4,2013,65650,28.0,1248,74,5.0,0,3.85,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
54,577,2,2015,54000,18.0,1197,82,5.0,0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
55,1845,8,2015,39000,15.0,1598,103.2,5.0,0,3.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
56,1459,7,2017,16542,25.1,799,53.3,5.0,0,3.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
57,687,8,2010,32000,20.3,1197,78.9,5.0,0,2.07,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
58,1413,5,2010,121812,13.2,1995,147.6,5.0,0,7.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
59,1226,5,2010,39300,18.0,998,67.1,5.0,0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
60,1772,9,2017,22000,13.6,2393,147.8,8.0,19.34,16.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
61,329,1,2010,72000,20.0,1399,68,5.0,0,2.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62,1314,4,2015,58000,11.7,1796,186,5.0,0,26.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
63,1302,10,2011,65000,15.0,2148,170,5.0,0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
64,1577,2,2016,178000,25.0,1396,69,5.0,0,2.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
65,11,6,2012,65664,16.5,1968,140,5.0,0,13.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
66,431,9,2007,63000,16.0,1497,78,5.0,0,1.85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
67,1241,3,2019,15369,0.0,1950,194,5.0,49.14,35.67,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
68,1057,10,2016,63000,24.5,1248,88.5,7.0,0,8.15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
69,509,9,2018,13000,22.0,1396,88.7,5.0,11.81,10.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
70,1417,9,2008,73000,8.0,4806,500,5.0,0,14.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
71,925,9,2015,55729,15.0,2179,140,7.0,0,9.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
72,707,7,2012,45178,16.9,1197,78.9,5.0,0,3.48,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
73,1410,7,2015,56066,19.6,1461,108.5,5.0,16.65,6.92,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
74,396,3,2016,37300,16.0,1198,86.8,5.0,0,6.46,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
75,24,4,2014,56000,18.5,1968,187.74,5.0,0,29.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
76,284,6,2008,111111,17.0,1399,0,5.0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
77,1742,2,2006,230000,12.0,1998,132,8.0,0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
78,1765,5,2012,104000,12.0,2494,102,7.0,0,11.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
79,601,5,2005,87591,0.0,1086,0,5.0,0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
80,1159,6,2012,95100,22.0,1248,74,5.0,0,3.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
81,1666,10,2017,70000,17.5,1193,88.7,5.0,6.67,4.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
82,371,7,2016,54944,18.0,1198,86.7,5.0,0,4.82,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
83,330,5,2012,70337,20.0,1399,68,5.0,0,2.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
84,1092,6,2013,99638,23.0,1248,73.94,5.0,0,3.11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
85,447,4,2009,52000,17.0,1497,117.3,5.0,0,3.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
86,97,4,2011,75000,16.7,1995,218,5.0,0,13.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
87,706,10,2009,95980,20.3,1197,78.9,5.0,0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
88,577,1,2016,16000,18.0,1197,82,5.0,0,5.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
89,605,5,2007,73745,17.0,1086,0,5.0,0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
90,371,9,2016,18949,17.0,1198,86.7,5.0,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
91,1736,4,2014,107000,13.0,2982,168.5,7.0,0,16.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
92,31,3,2018,48367,17.6,1968,174.33,5.0,0,39.58,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
93,258,4,2013,57000,22.0,1498,89.84,5.0,0,5.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
94,924,4,2014,58000,15.0,2179,140,7.0,0,8.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
95,370,8,2015,30000,25.0,1498,98.6,5.0,0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
96,1824,8,2013,34212,22.0,1199,73.9,5.0,0,2.79,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
97,656,0,2010,70002,16.0,1493,110,5.0,0,3.45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
98,1211,1,2016,62000,18.0,998,67.1,5.0,0,4.45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
99,1833,4,2010,62001,15.2,1598,103.5,5.0,0,2.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
100,726,10,2011,78958,23.0,1396,90,5.0,0,3.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
101,750,9,2014,30180,18.0,1197,82.85,5.0,0,4.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
102,204,10,2017,32851,19.8,1198,67,7.0,6.45,3.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
103,15,8,2010,30000,14.9,2967,241.4,5.0,0,9.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
104,733,10,2009,66000,17.0,1197,80,5.0,0,2.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
105,1079,3,2010,93850,14.0,796,35,5.0,0,2.41,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
106,1714,0,2014,53000,17.7,1197,78.9,5.0,6.41,3.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
107,780,5,2011,78000,14.7,2993,270.9,5.0,0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
108,924,4,2012,65000,16.0,2179,140,7.0,0,5.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
109,634,8,2014,40000,22.3,1582,126.32,5.0,0,5.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
110,1779,9,2017,30000,11.3,2755,171.5,7.0,27,19.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
111,1050,3,2017,38053,15.0,1196,73,5.0,5.13,3.91,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
112,1623,1,2014,25500,25.0,624,37.5,4.0,0,2.15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
113,79,9,2015,56087,22.6,1995,190,5.0,54.43,20.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
114,466,4,2010,71088,13.0,1799,130,5.0,0,3.35,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
115,1761,0,2014,55000,12.9,2494,100.6,7.0,0,11.11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
116,1867,1,2014,32700,23.0,1984,150,5.0,0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
117,1385,3,2016,39882,19.1,1198,75.94,5.0,9.51,6.55,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
118,103,9,2009,128000,10.0,2497,215,5.0,0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
119,1180,9,2016,55000,24.0,1248,88.5,5.0,9.96,7.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
120,604,9,2005,102000,17.0,1086,0,5.0,0,0.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
121,1240,10,2014,53753,15.0,2143,107.3,5.0,0,16.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
122,650,8,2018,10250,22.0,1582,126.2,5.0,14.44,10.95,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
123,1197,10,2011,43874,18.0,998,67.1,5.0,0,2.45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
124,1625,3,2017,32684,21.0,624,37.48,4.0,0,3.23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
125,889,8,2014,42000,12.0,2179,120,8.0,0,7.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
126,1304,8,2009,28352,11.0,1796,178,5.0,0,9.35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
127,1200,10,2013,89900,37.24,998,58.16,5.0,0,3.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
128,402,1,2007,47700,10.0,2354,152,5.0,0,5.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
129,1839,10,2015,55000,21.2,1498,103.2,5.0,0,7.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
130,1030,7,2017,44285,20.7,1373,91.1,5.0,0,7.47,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
131,914,6,2016,54000,16.0,2179,140,7.0,0,13.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
132,1094,3,2016,30232,21.0,1197,85.80,5.0,0,5.81,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
133,965,5,2014,88500,24.0,998,67.1,5.0,4.53,2.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
134,1342,8,2017,13372,19.0,2996,362.07,2.0,95.04,54.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
135,662,7,2019,12645,17.0,1591,121.3,5.0,13.49,11.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
136,972,2,2010,94385,19.0,796,46.3,5.0,0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
137,70,3,2015,31821,20.5,1995,143,5.0,0,17.22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
138,474,9,2015,12000,19.0,1199,88.7,5.0,0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
139,466,4,2012,88578,13.0,1799,130,5.0,0,3.95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
140,1318,7,2014,44965,19.2,2143,170,5.0,0,17.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
141,370,8,2014,45044,25.0,1498,98.6,5.0,0,3.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
142,1164,7,2016,34204,22.0,1197,81.80,5.0,0,5.43,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
143,607,7,2008,80759,17.0,1086,0,5.0,0,1.67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
144,1731,3,2012,91235,11.0,2982,171,7.0,0,13.49,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
145,171,10,2014,38800,18.0,1199,76.8,5.0,0,2.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
146,1517,2,2013,83000,21.1,1498,103.52,5.0,0,4.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
147,1019,7,2018,41283,20.7,1373,91.1,5.0,0,9.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
148,67,9,2013,23000,11.0,2894,444,4.0,1.28,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
149,93,9,2014,48000,21.7,1995,190,5.0,60.88,26.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
150,8,3,2015,48214,17.1,1968,174.33,5.0,0,23.32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
151,1159,2,2016,35000,22.0,1248,74,5.0,0,6.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
152,1337,8,2010,35277,7.8,5461,362.9,5.0,0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
153,1513,3,2016,54620,21.6,1498,103.52,5.0,0,9.86,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
154,1550,10,2012,136997,17.0,1968,138.1,5.0,0,8.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
155,532,7,2019,14322,21.0,814,55.2,5.0,0,4.23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
156,1825,6,2012,65634,22.0,1199,73.9,5.0,0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
157,201,8,2016,6000,20.6,1198,67.06,5.0,0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
158,391,8,2013,33280,19.0,1198,86.8,5.0,0,2.39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
159,1239,4,2013,29000,14.0,1595,120.7,5.0,0,11.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
160,437,7,2015,42831,26.0,1498,98.6,5.0,0,7.11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
161,1745,0,2016,90000,12.9,2494,100.6,7.0,0,10.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
162,1169,0,2017,24005,20.0,1197,81.80,5.0,0,6.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
163,924,9,2012,32792,15.0,2179,140,7.0,0,7.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
164,256,7,2014,147898,22.0,1498,89.84,5.0,0,4.42,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
165,1736,9,2012,131765,13.0,2982,168.5,7.0,0,13.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
166,1837,2,2013,65000,21.0,1498,108.5,5.0,0,6.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
167,329,6,2010,66123,20.0,1399,68,5.0,0,2.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
168,149,9,2015,41000,15.0,2993,258,5.0,0,45.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
169,1323,3,2017,23550,19.2,2143,167.62,5.0,0,33.66,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
170,394,1,2012,45000,19.0,1198,86.8,5.0,0,3.65,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
171,698,4,2013,60000,20.3,1197,78.9,5.0,0,2.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
172,1288,1,2016,44414,17.0,2143,170,5.0,0,42.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
173,557,8,2019,1000,18.0,1197,81.86,5.0,7.39,6.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
174,28,9,2012,62500,17.6,1968,174.33,5.0,0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
175,1856,9,2013,21000,14.0,1598,103.6,5.0,0,4.45,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
176,1355,6,2017,8525,16.0,1998,112,5.0,0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
177,751,1,2014,29000,22.5,1396,88.73,5.0,0,8.35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
178,28,9,2014,40000,17.6,1968,174.33,5.0,0,22.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
179,167,6,2012,88000,25.4,936,57.6,5.0,0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
